iter	Passed	Remaining
0	132	13145
1	144	7056
2	155	5039
3	167	4011
4	178	3391
5	190	2982
6	201	2675
7	212	2439
8	223	2260
9	233	2102
10	243	1970
11	254	1862
12	264	1769
13	274	1686
14	284	1614
15	294	1545
16	304	1489
17	315	1436
18	324	1385
19	334	1339
20	346	1301
21	357	1266
22	367	1229
23	377	1194
24	387	1161
25	397	1130
26	406	1099
27	416	1071
28	427	1046
29	439	1025
30	449	1000
31	456	970
32	462	938
33	467	907
34	471	876
35	476	847
36	480	817
37	483	789
38	488	763
39	494	741
40	498	717
41	502	694
42	507	672
43	512	651
44	516	631
45	520	611
46	525	592
47	529	574
48	533	555
49	538	538
50	542	521
51	546	504
52	551	488
53	555	473
54	560	458
55	564	443
56	568	428
57	573	415
58	577	401
59	582	388
60	587	375
61	591	362
62	595	349
63	599	337
64	602	324
65	606	312
66	611	301
67	615	289
68	618	277
69	622	266
70	626	255
71	630	245
72	634	234
73	640	224
74	644	214
75	649	205
76	654	195
77	659	185
78	663	176
79	668	167
80	673	158
81	678	148
82	683	139
83	688	131
84	692	122
85	697	113
86	702	105
87	707	96
88	712	88
89	717	79
90	722	71
91	727	63
92	732	55
93	737	47
94	741	39
95	747	31
96	752	23
97	757	15
98	763	7
99	769	0
