match_id,player_name,runs,balls_faced,strike_rate,match_order,recent_avg_runs,most_recent_strike_rate,batting_points,sr_bonus,dream11_points,player_team,opposing_team,venue
548346,A Ashish Reddy,10,10,100.0,284,10.0,100.0,10,0,10,Deccan Chargers,Mumbai Indians,Wankhede Stadium
548346,A Ashish Reddy,10,10,100.0,284,10.0,100.0,10,0,10,Mumbai Indians,Deccan Chargers,Wankhede Stadium
548352,A Ashish Reddy,3,3,100.0,291,6.5,100.0,3,0,3,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
548352,A Ashish Reddy,3,3,100.0,291,6.5,100.0,3,0,3,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk"
548359,A Ashish Reddy,8,8,100.0,298,7.0,100.0,8,0,8,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
548359,A Ashish Reddy,8,8,100.0,298,7.0,100.0,8,0,8,Kings XI Punjab,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
548373,A Ashish Reddy,10,4,250.0,313,7.75,137.5,10,0,10,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
548373,A Ashish Reddy,10,4,250.0,313,7.75,137.5,10,0,10,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
548376,A Ashish Reddy,4,5,80.0,316,7.0,126.0,4,0,4,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
548376,A Ashish Reddy,4,5,80.0,316,7.0,126.0,4,0,4,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
598000,A Ashish Reddy,7,4,175.0,324,6.4,141.0,7,0,7,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal"
598000,A Ashish Reddy,7,4,175.0,324,6.4,141.0,7,0,7,Pune Warriors,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
598004,A Ashish Reddy,14,12,116.66666666666667,328,8.6,144.33333333333331,14,1,15,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
598004,A Ashish Reddy,14,12,116.66666666666667,328,8.6,144.33333333333331,14,1,15,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
598048,A Ashish Reddy,3,4,75.0,330,7.6,139.33333333333331,3,0,3,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium
598048,A Ashish Reddy,3,4,75.0,330,7.6,139.33333333333331,3,0,3,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium
