match_id,player_name,ball,wickets,runs_conceded,overs,economy,match_order,recent_avg_wickets,recent_economy,bowling_points,eco_bonus,dream11_points,player_team,opposing_team,venue
548341,A Ashish Reddy,24,2,32,4.0,8.0,280,2.0,8.0,50,0,50,Pune Warriors,Deccan Chargers,Subrata Roy Sahara Stadium
548346,A Ashish Reddy,14,1,11,2.3333333333333335,4.714285714285714,284,1.5,6.357142857142858,25,6,31,Deccan Chargers,Mumbai Indians,Wankhede Stadium
548346,A Ashish Reddy,14,1,11,2.3333333333333335,4.714285714285714,284,1.5,6.357142857142858,25,6,31,Mumbai Indians,Deccan Chargers,Wankhede Stadium
548348,A Ashish Reddy,19,1,32,3.1666666666666665,10.105263157894738,287,1.3333333333333333,7.606516290726817,25,-1,24,Pune Warriors,Deccan Chargers,Barabati Stadium
548352,A Ashish Reddy,13,1,16,2.1666666666666665,7.384615384615385,291,1.25,7.551041064198959,25,1,26,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
548352,A Ashish Reddy,13,1,16,2.1666666666666665,7.384615384615385,291,1.25,7.551041064198959,25,1,26,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk"
548356,A Ashish Reddy,25,1,36,4.166666666666667,8.639999999999999,295,1.2,7.768832851359167,25,0,25,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium
548359,A Ashish Reddy,25,2,40,4.166666666666667,9.6,298,1.2,8.088832851359168,50,0,50,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
548359,A Ashish Reddy,25,2,40,4.166666666666667,9.6,298,1.2,8.088832851359168,50,0,50,Kings XI Punjab,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
548329,A Ashish Reddy,12,0,29,2.0,14.5,300,1.0,10.045975708502024,0,-4,-4,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
548373,A Ashish Reddy,12,0,17,2.0,8.5,313,0.8,9.724923076923076,0,0,0,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
548373,A Ashish Reddy,12,0,17,2.0,8.5,313,0.8,9.724923076923076,0,0,0,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
548376,A Ashish Reddy,25,3,25,4.166666666666667,6.0,316,1.2,9.448,83,2,85,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
548376,A Ashish Reddy,25,3,25,4.166666666666667,6.0,316,1.2,9.448,83,2,85,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
598000,A Ashish Reddy,12,1,21,2.0,10.5,324,1.2,9.82,25,-1,24,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal"
598000,A Ashish Reddy,12,1,21,2.0,10.5,324,1.2,9.82,25,-1,24,Pune Warriors,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
598004,A Ashish Reddy,6,1,7,1.0,7.0,328,1.0,9.3,25,0,25,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
598004,A Ashish Reddy,6,1,7,1.0,7.0,328,1.0,9.3,25,0,25,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
598048,A Ashish Reddy,6,0,13,1.0,13.0,330,1.0,9.0,0,0,0,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium
598048,A Ashish Reddy,6,0,13,1.0,13.0,330,1.0,9.0,0,0,0,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium
598013,A Ashish Reddy,12,1,15,2.0,7.5,339,1.2,8.8,25,1,26,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens
598013,A Ashish Reddy,12,1,15,2.0,7.5,339,1.2,8.8,25,1,26,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens
598030,A Ashish Reddy,5,0,15,0.8333333333333334,18.0,355,0.6,11.2,0,0,0,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
