match_id,team1,team2,winner,venue,date,season,team1_won
335982,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,2008-04-18,2007/08,0
335983,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2008-04-19,2007/08,0
335984,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2008-04-19,2007/08,1
335985,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Wankhede Stadium,2008-04-20,2007/08,0
335986,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2008-04-20,2007/08,1
335987,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2008-04-21,2007/08,1
335988,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2008-04-22,2007/08,0
335989,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2008-04-23,2007/08,1
335990,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2008-04-24,2007/08,0
335991,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2008-04-25,2007/08,1
335992,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,M Chinnaswamy Stadium,2008-04-26,2007/08,0
335993,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2008-04-26,2007/08,1
335994,Mumbai Indians,Deccan Chargers,Deccan Chargers,Dr DY Patil Sports Academy,2008-04-27,2007/08,0
335995,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2008-04-27,2007/08,1
335996,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,2008-04-28,2007/08,0
335997,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,2008-04-29,2007/08,0
335998,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,2008-04-30,2007/08,1
335999,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2008-05-01,2007/08,0
336000,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2008-05-01,2007/08,1
336001,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",2008-05-02,2007/08,0
336034,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,2008-05-03,2007/08,1
336003,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2008-05-03,2007/08,1
336004,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Dr DY Patil Sports Academy,2008-05-04,2007/08,1
336005,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,2008-05-04,2007/08,1
336006,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,2008-05-05,2007/08,0
336007,Chennai Super Kings,Deccan Chargers,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,2007/08,0
336008,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Dr DY Patil Sports Academy,2008-05-07,2007/08,1
