player_name,role
AA Bilakhia,Batsman
RG More,Batsman
K Kartikeya,Batsman
TA Boult,Bowler
S Chanderpaul,Batsman
RN ten Doeschate,Batsman
M Klinger,Batsman
DM Bravo,Batsman
JP Duminy,Batsman
BW Hilfenhaus,Bowler
AN Ghosh,Batsman
H Das,Batsman
R Sai Kishore,Bowler
SO Hetmyer,Batsman
M Pathirana,Bowler
IC Porel,Batsman
RS Sodhi,Batsman
KB Arun Karthik,Batsman
V Kohli,Batsman
JR Philippe,Batsman
VG Arora,Batsman
DJ Harris,Batsman
Mohammed Shami,Bowler
Basil Thampi,Bowler
P Amarnath,Bowler
B Lee,Batsman
LJ Wright,Batsman
RR Raje,Batsman
L Ngidi,Bowler
NM Coulter-Nile,Bowler
PN Mankad,Batsman
M Morkel,Bowler
AUK Pathan,Batsman
GD Phillips,Batsman
K Khejroliya,Batsman
Akash Deep,Batsman
BB McCullum,Batsman
MJ Lumb,Batsman
AD Nath,Batsman
MF Maharoof,Bowler
MJ Henry,Batsman
MM Ali,Batsman
SR Watson,All-Rounder
T Banton,Batsman
Abdul Samad,Batsman
Duan Jansen,Batsman
Yash Thakur,Bowler
M Rawat,Batsman
CJ Dala,Batsman
S Sriram,Batsman
R Bhatia,Batsman
MG Neser,Batsman
KV Sharma,Bowler
FA Allen,Batsman
J Little,Batsman
YV Takawale,Batsman
MK Lomror,Batsman
LRPL Taylor,Batsman
SSB Magala,Batsman
MK Pandey,Batsman
H Sharma,Batsman
JDP Oram,Batsman
Sandeep Sharma,Bowler
DJ Muthuswami,Batsman
SJ Srivastava,Bowler
YV Dhull,Batsman
SP Jackson,Batsman
MDKJ Perera,Batsman
BB Samantray,Batsman
D Salunkhe,Batsman
M Muralitharan,Bowler
RR Sarwan,Batsman
S Kaul,Bowler
CL White,Batsman
Mohammed Siraj,Bowler
Harpreet Singh,Batsman
Shivam Sharma,Batsman
NLTC Perera,Bowler
Vishnu Vinod,Batsman
Avesh Khan,Bowler
JD Ryder,Batsman
SW Tait,Bowler
UBT Chand,Batsman
STR Binny,Batsman
CJ Ferguson,Batsman
AB Barath,Batsman
AB Agarkar,Batsman
M de Lange,Bowler
S Lamichhane,Bowler
S Midhun,Batsman
SS Mundhe,Batsman
J Suchith,Batsman
A Mithun,Batsman
RK Singh,Batsman
P Ray Barman,Batsman
Kartik Tyagi,Batsman
FH Edwards,Batsman
Anuj Rawat,Batsman
KJ Abbott,Batsman
RR Bose,Batsman
SC Kuggeleijn,Batsman
KR Sen,Batsman
MC Henriques,Batsman
S Dube,Batsman
Tejas Baroka,Batsman
Akash Madhwal,Bowler
TL Suman,Batsman
Lalit Yadav,Batsman
C de Grandhomme,Batsman
R Powell,Batsman
RK Bhui,Batsman
DAJ Bracewell,Bowler
I Udana,Batsman
K Santokie,Bowler
Abhishek Sharma,Batsman
A Manohar,Batsman
SP Fleming,Batsman
Kamran Akmal,Batsman
Simarjeet Singh,Batsman
S Anirudha,Batsman
RE Levi,Batsman
Parvez Rasool,Batsman
DA Miller,Batsman
LMP Simmons,Batsman
SL Malinga,Bowler
Ramandeep Singh,Bowler
VS Yeligati,Batsman
AS Roy,Batsman
CRD Fernando,Bowler
PVD Chameera,Batsman
K Rabada,Bowler
S Tyagi,Batsman
KM Jadhav,Batsman
Rashid Khan,Bowler
Yuvraj Singh,Batsman
Abishek Porel,Batsman
MA Khote,Batsman
PM Sarvesh Kumar,Batsman
KD Karthik,Batsman
Rasikh Salam,Batsman
ER Dwivedi,Batsman
SK Trivedi,Batsman
M Kaif,Batsman
B Chipli,Batsman
MA Starc,Bowler
KC Cariappa,Batsman
CJ Green,Batsman
R Parag,Batsman
W Jaffer,Batsman
MM Patel,Bowler
WD Parnell,Bowler
JP Faulkner,Bowler
MV Boucher,Batsman
BJ Hodge,Batsman
C Nanda,Batsman
T Taibu,Batsman
PJ Sangwan,Bowler
AM Salvi,Batsman
AC Thomas,Bowler
Mayank Dagar,Batsman
Gurkeerat Singh,Batsman
DP Nannes,Bowler
SA Abbott,Batsman
RS Gavaskar,Batsman
AR Patel,Batsman
Y Prithvi Raj,Batsman
GB Hogg,Bowler
KAJ Roach,Batsman
DPMD Jayawardene,Batsman
NL McCullum,Batsman
DR Martyn,Batsman
U Kaul,Batsman
RP Meredith,Bowler
CV Varun,Bowler
A Chopra,Batsman
PR Shah,Batsman
BCJ Cutting,Batsman
RV Uthappa,Batsman
Iqbal Abdulla,Batsman
MJ Santner,Batsman
SD Chitnis,Batsman
DR Shorey,Batsman
MS Dhoni,Wicket-Keeper
RG Sharma,Batsman
P Dogra,Batsman
JA Richardson,Batsman
JR Hazlewood,Bowler
M Ntini,Batsman
Sunny Singh,Batsman
Anand Rajan,Bowler
CM Gautam,Batsman
JC Archer,Bowler
B Sumanth,Batsman
WP Saha,Batsman
SE Bond,Bowler
PH Solanki,Batsman
M Vijay,Batsman
P Kumar,Batsman
SE Marsh,Batsman
RE van der Merwe,Bowler
KS Williamson,Batsman
A Nel,Batsman
JC Buttler,Batsman
S Aravind,Bowler
AP Majumdar,Batsman
KP Pietersen,Batsman
JA Morkel,Bowler
R Sharma,Batsman
DJ Hooda,Batsman
B Sai Sudharsan,Batsman
ST Jayasuriya,Batsman
S Kaushik,Batsman
P Dubey,Batsman
BR Dunk,Batsman
AG Paunikar,Batsman
R Tewatia,Batsman
MEK Hussey,Batsman
KMDN Kulasekara,Bowler
AK Markram,Batsman
D Brevis,Batsman
SS Sarkar,Batsman
SN Thakur,Bowler
A Mishra,Bowler
M Theekshana,Bowler
JL Denly,Batsman
Arshad Khan (2),Batsman
Sunny Gupta,Batsman
KC Sangakkara,Batsman
Kamran Khan,Bowler
OC McCoy,Bowler
Mohammad Asif,Bowler
Shoaib Akhtar,Bowler
AD Hales,Batsman
AC Gilchrist,Batsman
S Sreesanth,Batsman
RJ Harris,Bowler
MK Tiwary,Batsman
D du Preez,Bowler
ML Hayden,Batsman
SS Cottrell,Batsman
TL Seifert,Batsman
AS Yadav,Batsman
HH Pandya,Batsman
TD Paine,Batsman
Yash Dayal,Bowler
JE Root,Batsman
Harmeet Singh (2),Batsman
MS Wade,Batsman
A Ashish Reddy,Batsman
R Dhawan,Batsman
A Tomar,Batsman
SP Narine,Bowler
DNT Zoysa,Batsman
AD Mascarenhas,Bowler
B Laughlin,Bowler
Z Khan,Bowler
MJ Guptill,Batsman
Anureet Singh,Batsman
RR Pant,Batsman
JJ Roy,Batsman
L Balaji,Bowler
Pankaj Singh,Batsman
MG Bracewell,Bowler
KP Appanna,Batsman
GR Napier,Batsman
WPUJC Vaas,Bowler
Harpreet Brar,Batsman
Nithish Kumar Reddy,Batsman
VS Malik,Batsman
R Rampaul,Bowler
R Shukla,Batsman
NA Saini,Batsman
PWH de Silva,Bowler
PD Salt,Batsman
RW Price,Batsman
DL Vettori,Batsman
MP Stoinis,Batsman
RA Tripathi,Batsman
Tilak Varma,Batsman
AP Tare,Batsman
JPR Scantlebury-Searles,Batsman
YS Chahal,Bowler
CK Kapugedera,Batsman
LA Carseldine,Batsman
DA Warner,Batsman
KA Pollard,Batsman
DL Chahar,Bowler
CJ McKay,Batsman
Abdur Razzak,Batsman
Shubman Gill,Batsman
CA Lynn,Batsman
Shashank Singh,Batsman
JW Hastings,Batsman
KL Rahul,Wicket-Keeper
AL Menaria,Batsman
Mashrafe Mortaza,Batsman
X Thalaivan Sargunam,Batsman
AT Rayudu,Batsman
PSP Handscomb,Batsman
A Dananjaya,Batsman
F Behardien,Batsman
AC Voges,Batsman
V Pratap Singh,Bowler
PBB Rajapaksa,Batsman
RR Powar,Batsman
SN Khan,Batsman
A Singh,Bowler
Y Venugopal Rao,Batsman
SS Prabhudessai,Batsman
HC Brook,Batsman
Vijaykumar Vyshak,Bowler
KM Asif,Batsman
YK Pathan,Batsman
HV Patel,Bowler
MN van Wyk,Batsman
SC Ganguly,Batsman
JM Kemp,Batsman
SM Pollock,Batsman
LI Meriwala,Batsman
Jaskaran Singh,Batsman
JJ van der Wath,Batsman
N Pooran,Batsman
Y Gnaneswara Rao,Batsman
VY Mahesh,Bowler
S Vidyut,Batsman
VH Zol,Batsman
HR Shokeen,Batsman
SM Katich,Batsman
KW Richardson,Bowler
A Choudhary,Batsman
Sachin Baby,Bowler
K Goel,Batsman
S Badrinath,Batsman
S Dhawan,Batsman
V Shankar,Batsman
A Mukund,Batsman
Mohammad Ashraful,Batsman
RR Rossouw,Batsman
SA Yadav,Batsman
Shoaib Ahmed,Batsman
Shahbaz Ahmed,Batsman
Noor Ahmad,Bowler
VVS Laxman,Batsman
Akash Singh,Batsman
S Gopal,Bowler
J Theron,Bowler
AB Dinda,Bowler
A Nehra,Bowler
IK Pathan,Batsman
LH Ferguson,Bowler
Aman Hakim Khan,Batsman
AD Mathews,Batsman
SB Wagh,Batsman
KK Cooper,Bowler
AS Joseph,Bowler
BJ Rohrer,Batsman
OA Shah,Batsman
RA Shaikh,Batsman
MR Marsh,Bowler
Mukesh Choudhary,Bowler
SR Tendulkar,Batsman
RJW Topley,Batsman
SD Lad,Batsman
Sanvir Singh,Batsman
K Yadav,Batsman
PP Shaw,Batsman
A Flintoff,Batsman
Mukesh Kumar,Batsman
JL Pattinson,Bowler
PV Tambe,Batsman
D Wiese,Bowler
AD Russell,All-Rounder
CA Ingram,Batsman
AA Kazi,Batsman
PP Chawla,Bowler
RS Bopara,Batsman
R Shepherd,Bowler
AJ Hosein,Batsman
DT Christian,Batsman
ND Doshi,Batsman
Mujeeb Ur Rahman,Bowler
Swapnil Singh,Batsman
NT Ellis,Bowler
G Gambhir,Batsman
A Nortje,Bowler
Mohsin Khan (2),Bowler
SB Jakati,Batsman
AJ Turner,Batsman
C Green,Batsman
VR Iyer,Batsman
DJG Sammy,Batsman
FY Fazal,Batsman
M Ashwin,Batsman
SB Joshi,Batsman
T Henderson,Batsman
AM Nayar,Batsman
JH Kallis,Batsman
S Badree,Batsman
J Arunkumar,Batsman
AF Milne,Batsman
TR Birt,Batsman
Imran Tahir,Bowler
KS Bharat,Batsman
Gurnoor Brar,Batsman
UT Khawaja,Batsman
P Chopra,Batsman
PA Reddy,Batsman
KMA Paul,Bowler
SMSM Senanayake,Bowler
PA Patel,Batsman
AM Rahane,Batsman
T Shamsi,Batsman
DR Smith,Batsman
N Wadhera,Batsman
TG Southee,Bowler
CK Langeveldt,Bowler
RJ Peterson,Batsman
A Badoni,Batsman
R Ashwin,Batsman
B Kumar,Bowler
DJ Hussey,Batsman
BA Stokes,Batsman
RD Chahar,Batsman
CR Brathwaite,Batsman
Arjun Tendulkar,Batsman
AB de Villiers,Batsman
DJ Thornely,Batsman
C Munro,Batsman
MW Short,Batsman
DP Vijaykumar,Batsman
T Stubbs,Batsman
RJ Quiney,Batsman
JM Bairstow,Batsman
BMAJ Mendis,Batsman
MM Sharma,Bowler
GHS Garton,Batsman
SS Iyer,Batsman
